amfi_code,HHI
119092,2064.4766999999997
101207,2007.0043
119599,1747.5096
102885,1747.0902
118632,1682.982
148568,1679.2973
120505,1575.7036
120506,1537.936
125498,1524.1398
120841,1496.8035
148569,1493.9642000000001
100033,1475.9226
149323,1416.2096
120503,1408.7026
100016,1395.3385999999998
148567,1385.8417
125497,1365.8554
119094,1364.0591
118635,1359.4415
149322,1343.9796999999999
119093,1308.9424000000001
102887,1298.0495
101206,1293.3173000000002
120843,1286.8306
120842,1274.3881
118633,1214.6086
119551,1187.1552
149324,1186.771
102886,1146.9283999999998
119095,1096.0535
120504,1086.7415
118634,1083.5772
119552,1080.1068999999998
119598,1073.4895000000001
