amfi_code,alpha,beta
100016,0.00013500593871028962,0.01551346851596136
100025,0.00017111875002304296,-0.0023925957331278475
100033,0.0010820197968077806,-0.009351237797737652
101206,0.0008587670581264673,-0.02539163778827323
101207,0.000438378901714001,-0.022825042816078025
101208,0.0002414508136118977,8.107310398800933e-05
102885,0.0006621667139249846,0.027456257844865738
102886,0.00014705340226352364,-0.05731491525370564
102887,0.0006834943796381181,-0.04795186995553842
118632,0.0008580620769598008,0.010322477670234783
118633,0.000649486856898952,-0.04724014585536182
118634,0.000750040581886798,-0.0725714341513505
118635,0.0005972722179825222,0.007373317274834772
118636,0.00020391725906602226,-0.004813478858453219
119092,0.00024061506994704505,0.030365941485656103
119093,0.0003293207295931918,-0.024416119334343376
119094,0.000987821419401196,0.031079748559417027
119095,0.0002137873602292584,-0.039194184156616955
119120,0.00022595171701513794,-0.009799385310671262
119551,0.000940316877058058,-0.034311627943256755
119552,0.0007877520012599234,-0.003898868378304499
119598,0.0011960738516861992,0.005878440062786542
119599,0.00018124892691522606,0.03714381599547135
120503,0.0006924870350696502,0.006458676159530456
120504,0.0008283189921385521,0.03533049785077237
120505,0.0011458863197835987,0.02240412842128945
120506,0.0006312155161162669,0.02992888769619102
120507,0.00026767098647969515,0.001245821731210614
120841,0.0005194715799212252,0.005916330666376233
120842,0.00030514757994519253,0.03178339853779707
120843,0.001081532582229249,0.004921877530943159
120844,0.00025604447284608437,0.0005271307843643566
125497,0.0007235945052296409,-0.016795513839392054
125498,0.00046145137889670534,0.027746705417547257
148567,0.0010352734037056034,0.05533642361795061
148568,0.0008250014233504716,9.547917801660327e-05
148569,0.0011203685231409495,0.006311290749411631
149322,0.0005324827622122685,-0.009324398611953286
149323,0.0010561799827093054,-0.028168241410189736
149324,0.001237211278759419,-0.05521878623262093
